frame,mother,patient,therapist
501,0,0.000895714,0.00872002
502,0,0.000861527,0.0114339
503,0,0.00129229,0.0191307
504,1.06988e-05,0.000998277,0.0208213
505,5.34942e-06,0.000711101,0.0207323
506,2.13977e-05,0.000635889,0.0200205
507,1.06988e-05,0.00114186,0.0155715
508,0,0.0021333,0.0185968
509,0,0.00453327,0.0179294
510,0,0.00743238,0.0161498
511,1.06988e-05,0.00617427,0.00960982
512,5.34942e-06,0.00341192,0.00591716
513,1.06988e-05,0.00560676,0.0044045
514,1.60483e-05,0.00646145,0.00293633
515,1.06988e-05,0.00542899,0.00436001
516,1.06988e-05,0.00465635,0.00240246
517,0,0.00373328,0.00258042
518,5.34942e-06,0.00434182,0.00284736
519,0.000272821,0.00520335,0.00338123
520,0.00140155,0.00630419,0.00422654
521,0.00231095,0.00551104,0.00373715
522,0.00250353,0.00282389,0.00364817
523,0.00166902,0.00387003,0.00444899
524,0.000299568,0.00516232,0.00355919
525,0.000395857,0.00570932,0.0039596
526,0.000481448,0.00380166,0.00315878
527,0.000486798,0.00294697,0.00298082
528,0.000299568,0.00173673,0.00315878
529,0.000272821,0.000649564,0.0022245
530,0.000342363,0.000731614,0.00329225
531,0.000176531,8.88877e-05,0.00338123
532,0.00018723,0.000177775,0.00360368
533,0.000625883,0.000505976,0.00413756
534,0.000567039,0.00199655,0.00427103
535,0.000262122,0.00292646,0.00360368
536,0.000331664,0.00352132,0.0039596
537,0.0004654,0.00306321,0.00360368
538,0.000764968,0.000786314,0.00391511
539,0.00125711,0.00304269,0.00507185
540,0.000599136,0.00368542,0.0026694
541,5.34942e-06,0.00324782,0.00289184
542,0.000160483,0.000970927,0.00391511
543,0,0.000683751,0.00373715
544,0,0.000157263,0.00329225
545,5.34942e-06,0.000656401,0.00436001
546,1.60483e-05,0.000793152,0.00489389
547,1.06988e-05,0.000786314,0.00609512
548,1.60483e-05,0.00192134,0.0119678
549,0,0.00201023,0.0191752
550,1.06988e-05,0.000950414,0.0230013
551,0,0.000608539,0.0293633
552,5.34942e-06,2.73501e-05,0.0223784
553,0,6.83751e-06,0.0234017
554,5.34942e-06,1.3675e-05,0.0255817
555,0,6.83751e-06,0.0162388
556,0,0,0.00894247
557,1.60483e-05,6.83751e-06,0.00596165
558,5.34942e-06,6.83751e-06,0.0044045
