frame,patient,mother,therapist
449,0.03631,1.27368e-05,0.00364598
450,0.0353039,1.91052e-05,0.00287121
451,0.035261,2.54737e-05,0.0030535
452,0.0345433,1.27368e-05,0.00405615
453,0.0264151,1.27368e-05,0.00405615
454,0.01998,1.91052e-05,0.00401057
455,0.0142443,1.91052e-05,0.00250661
456,0.0114837,2.54737e-05,0.0032358
457,0.0138271,1.91052e-05,0.00319023
458,0.0173974,5.73157e-05,0.0041473
459,0.0190292,1.91052e-05,0.00496764
460,0.0269733,6.36841e-06,0.003965
461,0.0314147,1.27368e-05,0.00300793
462,0.0283842,1.91052e-05,0.00501322
463,0.0194218,1.27368e-05,0.00250661
464,0.0188451,1.91052e-05,0.00296236
465,0.0250532,1.27368e-05,0.00332695
466,0.0283168,1.91052e-05,0.003965
467,0.0284026,1.91052e-05,0.00264333
468,0.0270101,6.36841e-06,0.00182299
469,0.02655,1.91052e-05,0.00255218
470,0.0235441,6.36841e-05,0.00428402
471,0.0211946,5.09473e-05,0.00451189
472,0.0194831,3.18421e-05,0.00455747
473,0.0194831,5.73157e-05,0.00350925
474,0.0289731,3.82105e-05,0.00460304
475,0.0347764,6.36841e-06,0.00300793
476,0.0320097,6.36841e-06,0.003965
477,0.0339912,2.54737e-05,0.00469419
478,0.0423156,2.54737e-05,0.00364598
479,0.0476158,1.91052e-05,0.00492207
480,0.0450455,1.27368e-05,0.00282563
481,0.0419598,6.36841e-06,0.00273448
482,0.0430395,1.27368e-05,0.00387385
483,0.0510941,6.36841e-06,0.00469419
484,0.0516707,6.36841e-06,0.0043296
485,0.0457264,5.09473e-05,0.00328138
486,0.0438738,1.27368e-05,0.00373713
487,0.0492599,3.18421e-05,0.00282563
488,0.0567378,2.54737e-05,0.0036004
489,0.0602835,6.36841e-05,0.00391942
490,0.0592836,0.000305684,0.00442075
491,0.0570568,0.000477631,0.003965
492,0.054695,0.000121,0.0030535
493,0.0539098,1.91052e-05,0.00337253
494,0.0558544,1.27368e-05,0.00460304
495,0.0597682,1.27368e-05,0.00514994
496,0.0653629,8.91578e-05,0.00410172
497,0.0692399,1.91052e-05,0.00328138
498,0.0724114,6.36841e-06,0.00451189
499,0.0724727,3.18421e-05,0.00264333
500,0.0680375,1.91052e-05,0.00250661
501,0.0601302,6.36841e-06,0.0034181
502,0.0546766,2.54737e-05,0.00496764
503,0.0593634,3.82105e-05,0.00355483
504,0.0638722,1.27368e-05,0.00214201
505,0.0656635,6.36841e-06,0.00255218
